Site,Class,Image,Shapefile,Avg_BV_Band1,Avg_BV_Band2,Avg_BV_Band3
0,Aquatics,dec2014BV25,Aquatics_Class_300_dec2014,204.0,215.0,220.0
1,Aquatics,dec2014BV25,Aquatics_Class_300_dec2014,203.0,200.0,224.0
2,Aquatics,dec2014BV25,Aquatics_Class_300_dec2014,195.0,185.0,221.0
3,Aquatics,dec2014BV25,Aquatics_Class_300_dec2014,191.0,186.0,224.0
4,Aquatics,dec2014BV25,Aquatics_Class_300_dec2014,197.0,186.0,229.0
5,Aquatics,dec2014BV25,Aquatics_Class_300_dec2014,200.0,192.0,233.0
6,Aquatics,dec2014BV25,Aquatics_Class_300_dec2014,187.0,184.0,211.0
7,Aquatics,dec2014BV25,Aquatics_Class_300_dec2014,224.0,221.0,242.0
8,Aquatics,dec2014BV25,Aquatics_Class_300_dec2014,202.0,195.0,233.0
9,Aquatics,dec2014BV25,Aquatics_Class_300_dec2014,198.0,186.0,231.0
10,Aquatics,dec2014BV25,Aquatics_Class_300_dec2014,199.0,193.0,224.0
11,Aquatics,dec2014BV25,Aquatics_Class_300_dec2014,197.0,185.0,236.0
12,Aquatics,dec2014BV25,Aquatics_Class_300_dec2014,217.0,212.0,228.0
13,Aquatics,dec2014BV25,Aquatics_Class_300_dec2014,212.0,206.0,247.0
14,Aquatics,dec2014BV25,Aquatics_Class_300_dec2014,222.0,218.0,231.0
15,Aquatics,dec2014BV25,Aquatics_Class_300_dec2014,204.0,194.0,219.0
16,Aquatics,dec2014BV25,Aquatics_Class_300_dec2014,211.0,224.0,233.0
17,Aquatics,dec2014BV25,Aquatics_Class_300_dec2014,201.0,193.0,231.0
18,Aquatics,dec2014BV25,Aquatics_Class_300_dec2014,192.0,182.0,222.0
19,Aquatics,dec2014BV25,Aquatics_Class_300_dec2014,193.0,201.0,214.0
20,Aquatics,dec2014BV25,Aquatics_Class_300_dec2014,193.0,205.0,213.0
21,Aquatics,dec2014BV25,Aquatics_Class_300_dec2014,138.0,142.0,158.0
22,Aquatics,dec2014BV25,Aquatics_Class_300_dec2014,165.0,162.0,195.0
23,Aquatics,dec2014BV25,Aquatics_Class_300_dec2014,152.0,145.0,179.0
24,Aquatics,dec2014BV25,Aquatics_Class_300_dec2014,137.0,137.0,155.0
25,Aquatics,dec2014BV25,Aquatics_Class_300_dec2014,185.0,172.0,221.0
26,Aquatics,dec2014BV25,Aquatics_Class_300_dec2014,185.0,183.0,221.0
27,Aquatics,dec2014BV25,Aquatics_Class_300_dec2014,196.0,191.0,230.0
28,Aquatics,dec2014BV25,Aquatics_Class_300_dec2014,190.0,182.0,232.0
29,Aquatics,dec2014BV25,Aquatics_Class_300_dec2014,187.0,179.0,228.0
30,Aquatics,dec2014BV25,Aquatics_Class_300_dec2014,203.0,191.0,245.0
31,Aquatics,dec2014BV25,Aquatics_Class_300_dec2014,162.0,154.0,194.0
32,Aquatics,dec2014BV25,Aquatics_Class_300_dec2014,207.0,196.0,252.0
33,Aquatics,dec2014BV25,Aquatics_Class_300_dec2014,218.0,204.0,230.0
34,Aquatics,dec2014BV25,Aquatics_Class_300_dec2014,160.0,158.0,192.0
35,Aquatics,dec2014BV25,Aquatics_Class_300_dec2014,199.0,198.0,240.0
36,Aquatics,dec2014BV25,Aquatics_Class_300_dec2014,209.0,195.0,246.0
37,Aquatics,dec2014BV25,Aquatics_Class_300_dec2014,197.0,189.0,237.0
38,Aquatics,dec2014BV25,Aquatics_Class_300_dec2014,190.0,179.0,215.0
39,Aquatics,dec2014BV25,Aquatics_Class_300_dec2014,129.0,127.0,152.0
40,Aquatics,dec2014BV25,Aquatics_Class_300_dec2014,167.0,161.0,206.0
41,Aquatics,dec2014BV25,Aquatics_Class_300_dec2014,194.0,171.0,227.0
