Site,Class,Image,Shapefile,Avg_BV_Band1,Avg_BV_Band2,Avg_BV_Band3
0,Aquatics,dec2015Ref25,Aquatics_Class_300_dec2015,0.370660364628,0.165930047631,0.798709452152
1,Aquatics,dec2015Ref25,Aquatics_Class_300_dec2015,0.324046224356,0.14226141572,0.665805280209
2,Aquatics,dec2015Ref25,Aquatics_Class_300_dec2015,0.0751349776983,0.0437182821333,0.11393147707
3,Aquatics,dec2015Ref25,Aquatics_Class_300_dec2015,0.315481424332,0.167214915156,0.571469306946
4,Aquatics,dec2015Ref25,Aquatics_Class_300_dec2015,0.0431587919593,0.0252939779311,0.056024953723
5,Aquatics,dec2015Ref25,Aquatics_Class_300_dec2015,0.299975186586,0.129383385181,0.614624083042
6,Aquatics,dec2015Ref25,Aquatics_Class_300_dec2015,0.121085852385,0.0448166616261,0.213879078627
7,Aquatics,dec2015Ref25,Aquatics_Class_300_dec2015,0.109475389123,0.0609698779881,0.181564480066
8,Aquatics,dec2015Ref25,Aquatics_Class_300_dec2015,0.0973292738199,0.0540916547179,0.145942226052
9,Aquatics,dec2015Ref25,Aquatics_Class_300_dec2015,0.203832745552,0.100111037493,0.382914155722
10,Aquatics,dec2015Ref25,Aquatics_Class_300_dec2015,0.199075907469,0.0809123367071,0.392759412527
11,Aquatics,dec2015Ref25,Aquatics_Class_300_dec2015,0.3262616992,0.101837657392,0.900734782219
12,Aquatics,dec2015Ref25,Aquatics_Class_300_dec2015,0.0599802061915,0.0301834810525,0.0890613645315
13,Aquatics,dec2015Ref25,Aquatics_Class_300_dec2015,0.0912875682116,0.045499201864,0.132917106152
14,Aquatics,dec2015Ref25,Aquatics_Class_300_dec2015,0.134345471859,0.0640519708395,0.270298153162
15,Aquatics,dec2015Ref25,Aquatics_Class_300_dec2015,0.207932725549,0.0917249843478,0.449945151806
16,Aquatics,dec2015Ref25,Aquatics_Class_300_dec2015,0.254376292229,0.116535365582,0.570050895214
17,Aquatics,dec2015Ref25,Aquatics_Class_300_dec2015,0.148593530059,0.0674235746264,0.251319646835
18,Aquatics,dec2015Ref25,Aquatics_Class_300_dec2015,0.109982423484,0.0660426467657,0.120859853923
19,Aquatics,dec2015Ref25,Aquatics_Class_300_dec2015,0.19146797061,0.0853534415364,0.317104578018
20,Aquatics,dec2015Ref25,Aquatics_Class_300_dec2015,0.182057142258,0.0839063003659,0.25488987565
21,Aquatics,dec2015Ref25,Aquatics_Class_300_dec2015,0.033965986222,0.0198229383677,0.0402001477778
22,Aquatics,dec2015Ref25,Aquatics_Class_300_dec2015,0.0483351796865,0.0260609947145,0.0589135214686
23,Aquatics,dec2015Ref25,Aquatics_Class_300_dec2015,0.188473910093,0.0791971087456,0.405560731888
24,Aquatics,dec2015Ref25,Aquatics_Class_300_dec2015,0.0475299283862,0.0269676968455,0.0578509941697
25,Aquatics,dec2015Ref25,Aquatics_Class_300_dec2015,0.106458969414,0.0490646958351,0.138583168387
26,Aquatics,dec2015Ref25,Aquatics_Class_300_dec2015,0.0995400026441,0.0507717318833,0.141128480434
27,Aquatics,dec2015Ref25,Aquatics_Class_300_dec2015,0.11578784883,0.0582148097456,0.195834651589
28,Aquatics,dec2015Ref25,Aquatics_Class_300_dec2015,0.0870218798518,0.0458208732307,0.128852799535
