Site,Class,Image,Shapefile,Avg_BV_Band1,Avg_BV_Band2,Avg_BV_Band3
0,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,84.0,84.0,117.0
1,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,116.0,108.0,157.0
2,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,142.0,134.0,175.0
3,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,117.0,120.0,109.0
4,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,162.0,155.0,200.0
5,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,170.0,155.0,208.0
6,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,136.0,115.0,168.0
7,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,118.0,112.0,129.0
8,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,160.0,143.0,180.0
9,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,170.0,149.0,216.0
10,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,172.0,152.0,219.0
11,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,108.0,99.0,131.0
12,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,131.0,119.0,151.0
13,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,165.0,147.0,198.0
14,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,120.0,109.0,134.0
15,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,148.0,140.0,183.0
16,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,210.0,184.0,249.0
17,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,144.0,136.0,165.0
18,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,100.0,94.0,116.0
19,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,151.0,144.0,155.0
20,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,158.0,142.0,172.0
21,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,134.0,113.0,158.0
22,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,112.0,107.0,132.0
23,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,152.0,142.0,178.0
24,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,158.0,134.0,172.0
25,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,159.0,146.0,167.0
26,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,160.0,151.0,176.0
27,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,132.0,118.0,149.0
28,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,163.0,142.0,174.0
29,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,146.0,134.0,163.0
30,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,171.0,157.0,198.0
31,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,126.0,109.0,150.0
32,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,160.0,147.0,171.0
33,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,157.0,141.0,173.0
34,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,160.0,148.0,168.0
35,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,145.0,129.0,167.0
36,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,53.0,54.0,65.0
37,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,44.0,42.0,54.0
38,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,69.0,67.0,82.0
39,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,73.0,69.0,85.0
40,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,147.0,136.0,163.0
41,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,159.0,142.0,179.0
42,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,148.0,134.0,175.0
43,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,154.0,142.0,193.0
44,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,177.0,161.0,222.0
45,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,154.0,143.0,195.0
46,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,137.0,128.0,151.0
47,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,120.0,111.0,142.0
48,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,153.0,142.0,189.0
49,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,139.0,123.0,167.0
50,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,91.0,86.0,118.0
51,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,180.0,167.0,203.0
52,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,166.0,132.0,201.0
53,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,167.0,148.0,210.0
54,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,157.0,145.0,178.0
55,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,119.0,112.0,124.0
56,Aquatics,mar2015BV25,Aquatics_Class_300_mar2015,127.0,112.0,139.0
