Site,Class,Image,Shapefile,Avg_BV_Band1,Avg_BV_Band2,Avg_BV_Band3
0,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,11374.5927734,9450.24316406,21038.8457031
1,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,19472.0898438,14245.4921875,43570.0742188
2,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,30137.859375,22221.0605469,60459.3046875
3,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,19801.984375,17490.1953125,18188.1542969
4,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,42173.0820313,31821.4472656,95294.3515625
5,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,48239.6914063,31821.4472656,110230.15625
6,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,27248.0566406,16056.9296875,53227.25
7,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,20137.46875,15253.9804688,26174.1035156
8,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,40779.609375,25918.0722656,66219.203125
9,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,48239.6914063,28718.4707031,127506.90625
10,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,49888.0820313,30230.171875,134662.34375
11,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,17023.2851563,12213.4824219,27144.3925781
12,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,25052.7148438,17193.65625,39062.796875
13,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,44353.0820313,27752.9042969,91888.0078125
14,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,20825.5820313,14491.1845703,28667.6835938
15,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,33334.140625,24622.0039063,69935.296875
16,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,94460.5390625,52250.03125,232472.171875
17,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,31167.6953125,22994.1660156,50398.9570313
18,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,14882.4423828,11212.6259766,20659.4023438
19,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,35057.2421875,26365.0820313,42012.640625
20,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,39432.1757813,25478.640625,57246.7304688
21,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,26347.7304688,15517.0664063,44370.3085938
22,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,18206.5644531,14003.9648438,27642.9433594
23,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,35651.1757813,25478.640625,63852.1640625
24,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,39432.1757813,22221.0605469,57246.7304688
25,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,40100.234375,27282.3652344,52267.2773438
26,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,40779.609375,29717.6308594,61569.7382813
27,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,25477.1542969,16902.1445313,37666.4765625
28,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,42887.5742188,25478.640625,59368.8984375
29,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,32232.7226563,22221.0605469,48597.421875
30,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,49056.9648438,32928.5625,91888.0078125
31,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,23034.2480469,14491.1845703,38358.2851563
32,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,40779.609375,27752.9042969,56214.2617188
33,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,38775.25,25046.6601563,58298.15625
34,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,40779.609375,28231.5605469,53227.25
35,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,31695.7363281,20400.1132813,52267.2773438
36,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,6757.02148438,5657.83056641,8165.92919922
37,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,5808.84716797,4608.21484375,6684.36035156
38,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,8840.84277344,7066.32470703,11126.9541016
39,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,9455.36328125,7312.17285156,11751.3779297
40,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,32778.8085938,22994.1660156,48597.421875
41,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,40100.234375,25478.640625,65024.9140625
42,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,33334.140625,22221.0605469,60459.3046875
43,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,36869.4101563,25478.640625,83895.375
44,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,54259.7226563,35259.6953125,142219.34375
45,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,36869.4101563,25918.0722656,87005.4296875
46,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,27709.6894531,20054.2382813,39062.796875
47,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,20825.5820313,14995.3554688,33160.8671875
48,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,36255.1757813,25478.640625,78004.8125
49,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,28656.5546875,18410.8554688,52267.2773438
50,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,12794.0751953,9779.03222656,21425.2578125
51,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,57064.4960938,39069.4375,100642.085938
52,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,45104.5078125,21473.9492188,97044.5859375
53,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,45868.6640625,28231.5605469,114316.453125
54,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,38775.25,26819.8027344,63852.1640625
55,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,20478.6347656,15253.9804688,23897.4199219
56,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,23424.4921875,15253.9804688,31398.8261719
57,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,19801.984375,14003.9648438,32562.7988281
58,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,25052.7148438,16056.9296875,49489.9921875
59,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,38775.25,25478.640625,58298.15625
60,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,23424.4921875,18728.3886719,30832.5371094
61,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,12371.3359375,10119.2597656,14888.2226563
62,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,21902.0917969,15784.6904297,39062.796875
63,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,12580.9296875,10471.3242188,15440.1386719
64,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,68647.328125,32928.5625,144831.421875
65,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,18515.0175781,11406.0107422,38358.2851563
66,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,27709.6894531,19379.9785156,41254.9257813
67,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,34473.1992188,21473.9492188,57246.7304688
68,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,35057.2421875,23794.1679688,42784.2695313
69,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,30137.859375,21473.9492188,46015.140625
70,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,56113.8242188,32370.2734375,114316.453125
71,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,36869.4101563,24204.546875,45185.2421875
72,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,51592.8007813,32928.5625,73859.9296875
73,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,31167.6953125,23794.1679688,72527.84375
74,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,15651.7412109,10119.2597656,29730.4121094
75,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,24224.9277344,17193.65625,45185.2421875
76,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,44353.0820313,29717.6308594,112254.710938
77,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,25477.1542969,21109.8652344,36320.0703125
78,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,15651.7412109,15253.9804688,18862.4003906
79,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,16739.6835938,13078.1181641,21038.8457031
80,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,46645.765625,26365.0820313,87005.4296875
81,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,78522.2578125,60943.0898438,180182.546875
82,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,69810.34375,48795.6171875,142219.34375
83,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,14882.4423828,11212.6259766,21818.7675781
84,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,13010.8310547,10293.7871094,21038.8457031
85,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,10815.5205078,8675.82519531,13593.2109375
86,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,9455.36328125,7312.17285156,13107.3154297
87,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,34473.1992188,27282.3652344,36987.1484375
88,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,33898.8867188,21844.3105469,54204.8554688
89,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,21902.0917969,17791.8496094,25702.0429688
90,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,36255.1757813,22604.3085938,46015.140625
91,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,30648.453125,21844.3105469,39062.796875
92,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,27709.6894531,18410.8554688,37666.4765625
93,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,66379.09375,38407.0273438,82382.2890625
94,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,54259.7226563,34661.8789063,125207.265625
95,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,29635.7734375,23794.1679688,38358.2851563
96,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,52466.8828125,33496.484375,125207.265625
97,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,57064.4960938,35259.6953125,125207.265625
98,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,25908.7871094,19051.3984375,35021.7929688
99,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,25052.7148438,16615.5742188,33769.921875
100,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,32232.7226563,23390.7460938,44370.3085938
101,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,31167.6953125,20400.1132813,56214.2617188
102,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,36869.4101563,26365.0820313,46015.140625
103,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,36869.4101563,25478.640625,65024.9140625
104,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,28656.5546875,20054.2382813,37666.4765625
105,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,31167.6953125,19379.9785156,41254.9257813
106,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,64185.8125,44796.96875,127506.90625
107,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,22650.5058594,18098.7070313,34390.1601563
108,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,25052.7148438,17791.8496094,41254.9257813
109,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,36255.1757813,26365.0820313,46015.140625
110,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,97688.3359375,63063.3945313,197348.359375
111,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,16460.8066406,13078.1181641,24336.3359375
112,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,30137.859375,20054.2382813,56214.2617188
113,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,72195.8203125,45569.5859375,97044.5859375
114,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,31695.7363281,20751.9550781,56214.2617188
115,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,40779.609375,28231.5605469,79437.5
116,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,81205.4375,43290.8164063,183491.890625
117,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,38775.25,19379.9785156,68673.9921875
118,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,29142.0507813,17193.65625,52267.2773438
119,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,21902.0917969,14995.3554688,33160.8671875
120,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,15134.5800781,12213.4824219,21038.8457031
121,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,61031.015625,39743.2695313,97044.5859375
122,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,35651.1757813,23794.1679688,79437.5
123,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,60014.2578125,37755.8515625,97044.5859375
124,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,41470.4921875,29717.6308594,67435.4296875
125,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,21902.0917969,15253.9804688,35665.0234375
126,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,66379.09375,42556.8359375,83895.375
127,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,32778.8085938,22604.3085938,50398.9570313
128,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,82581.2109375,47155.0195313,118554.234375
129,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,86849.96875,47968.3046875,144831.421875
130,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,54259.7226563,39069.4375,62700.5664063
131,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,35651.1757813,27752.9042969,42784.2695313
132,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,72195.8203125,47155.0195313,98826.96875
133,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,53355.7734375,35259.6953125,73859.9296875
134,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,56113.8242188,41835.3007813,60459.3046875
135,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,21178.4082031,14741.1142578,38358.2851563
136,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,15134.5800781,11602.7304688,23466.4199219
137,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,6871.49804688,5657.83056641,8468.64453125
138,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,6644.45166016,5467.60400391,8165.92919922
139,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,7729.02050781,6058.36816406,9619.29003906
140,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,8128.546875,6712.96337891,10159.1064453
141,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,28179.1445313,18098.7070313,48597.421875
142,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,9778.46191406,8241.97949219,12638.7880859
143,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,25477.1542969,16615.5742188,35021.7929688
144,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,8266.25976563,6377.27246094,11751.3779297
145,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,7729.02050781,6058.36816406,10729.2158203
146,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,12371.3359375,10293.7871094,20286.8007813
147,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,58031.28125,33496.484375,114316.453125
148,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,50733.2851563,30230.171875,76597.9609375
149,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,61031.015625,34661.8789063,91888.0078125
150,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,43614.171875,29717.6308594,61569.7382813
151,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,56113.8242188,32928.5625,88603.421875
152,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,61031.015625,37115.7148438,100642.085938
153,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,38129.2695313,24204.546875,60459.3046875
154,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,44353.0820313,25478.640625,79437.5
155,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,61031.015625,38407.0273438,80896.4921875
156,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,25052.7148438,19051.3984375,31398.8261719
157,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,49056.9648438,31281.9257813,112254.710938
158,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,25477.1542969,18098.7070313,36320.0703125
159,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,23821.3476563,17193.65625,33160.8671875
160,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,53355.7734375,32928.5625,91888.0078125
161,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,55178.984375,40428.7226563,65024.9140625
162,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,46645.765625,35259.6953125,58298.15625
163,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,45104.5078125,25918.0722656,78004.8125
164,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,40779.609375,29213.7792969,47720.9492188
165,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,45104.5078125,30751.5527344,69935.296875
166,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,42173.0820313,30751.5527344,48597.421875
167,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,79852.578125,55948.9960938,183491.890625
168,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,45104.5078125,26365.0820313,97044.5859375
169,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,46645.765625,31821.4472656,67435.4296875
170,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,26794.1113281,19714.2265625,33769.921875
171,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,46645.765625,29717.6308594,55200.4179688
172,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,19147.6914063,14995.3554688,23897.4199219
173,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,44353.0820313,29717.6308594,61569.7382813
174,Aquatics,mar2015Rad25,Aquatics_Class_300_mar2015,58031.28125,39069.4375,68673.9921875
