Site,Class,Image,Shapefile,Avg_BV_Band1,Avg_BV_Band2,Avg_BV_Band3
0,Aquatics,mar2015Ref25,Aquatics_Class_300_mar2015,0.0398279838264,0.0272744372487,0.0648632198572
1,Aquatics,mar2015Ref25,Aquatics_Class_300_mar2015,0.0681812614202,0.041114050895,0.134327486157
2,Aquatics,mar2015Ref25,Aquatics_Class_300_mar2015,0.0862576141953,0.0524215884507,0.152360498905
3,Aquatics,mar2015Ref25,Aquatics_Class_300_mar2015,0.0566752925515,0.0412610322237,0.0458350628614
4,Aquatics,mar2015Ref25,Aquatics_Class_300_mar2015,0.120703645051,0.0750698149204,0.240146562457
5,Aquatics,mar2015Ref25,Aquatics_Class_300_mar2015,0.138066902757,0.0750698149204,0.277785539627
6,Aquatics,mar2015Ref25,Aquatics_Class_300_mar2015,0.077986702323,0.0378798209131,0.134135350585
7,Aquatics,mar2015Ref25,Aquatics_Class_300_mar2015,0.0575818791986,0.0359521210194,0.0658987164497
8,Aquatics,mar2015Ref25,Aquatics_Class_300_mar2015,0.116606839001,0.0610863268375,0.16672052443
9,Aquatics,mar2015Ref25,Aquatics_Class_300_mar2015,0.188534229994,0.0925139710307,0.438776671886
10,Aquatics,mar2015Ref25,Aquatics_Class_300_mar2015,0.194976598024,0.0973837822676,0.463399976492
11,Aquatics,mar2015Ref25,Aquatics_Class_300_mar2015,0.0486770607531,0.0287859681994,0.0683416202664
12,Aquatics,mar2015Ref25,Aquatics_Class_300_mar2015,0.0716367289424,0.0405237413943,0.0983486622572
13,Aquatics,mar2015Ref25,Aquatics_Class_300_mar2015,0.126824960113,0.0654108449817,0.231347039342
14,Aquatics,mar2015Ref25,Aquatics_Class_300_mar2015,0.0595494993031,0.0341542847455,0.0721768215299
15,Aquatics,mar2015Ref25,Aquatics_Class_300_mar2015,0.0953169763088,0.0580316223204,0.176076561213
16,Aquatics,mar2015Ref25,Aquatics_Class_300_mar2015,0.27010422945,0.123148143291,0.585296750069
17,Aquatics,mar2015Ref25,Aquatics_Class_300_mar2015,0.089122146368,0.0541949681938,0.126889795065
18,Aquatics,mar2015Ref25,Aquatics_Class_300_mar2015,0.10879791528,0.0675638020039,0.132980599999
19,Aquatics,mar2015Ref25,Aquatics_Class_300_mar2015,0.109570644796,0.0679212957621,0.115616708994
20,Aquatics,mar2015Ref25,Aquatics_Class_300_mar2015,0.123244412243,0.0656376630068,0.157540172338
21,Aquatics,mar2015Ref25,Aquatics_Class_300_mar2015,0.0823492631316,0.0399748161435,0.122104898095
22,Aquatics,mar2015Ref25,Aquatics_Class_300_mar2015,0.0569042190909,0.0360767878592,0.0760720223188
23,Aquatics,mar2015Ref25,Aquatics_Class_300_mar2015,0.100027903914,0.0589228756726,0.15774191916
24,Aquatics,mar2015Ref25,Aquatics_Class_300_mar2015,0.123244412243,0.0572455339134,0.157540172338
25,Aquatics,mar2015Ref25,Aquatics_Class_300_mar2015,0.125332415104,0.0702843815088,0.143836975098
26,Aquatics,mar2015Ref25,Aquatics_Class_300_mar2015,0.114416949451,0.0687261223793,0.152103349566
27,Aquatics,mar2015Ref25,Aquatics_Class_300_mar2015,0.0714822560549,0.0390885397792,0.0930521637201
28,Aquatics,mar2015Ref25,Aquatics_Class_300_mar2015,0.120331354439,0.0589228756726,0.14666634798
29,Aquatics,mar2015Ref25,Aquatics_Class_300_mar2015,0.0904366150498,0.0513892695308,0.1200562343
30,Aquatics,mar2015Ref25,Aquatics_Class_300_mar2015,0.137641057372,0.0761518478394,0.227002322674
31,Aquatics,mar2015Ref25,Aquatics_Class_300_mar2015,0.0793104171753,0.0411263741553,0.116289235651
32,Aquatics,mar2015Ref25,Aquatics_Class_300_mar2015,0.140410393476,0.0787634924054,0.17042247951
33,Aquatics,mar2015Ref25,Aquatics_Class_300_mar2015,0.133509084582,0.07108309865,0.176740139723
34,Aquatics,mar2015Ref25,Aquatics_Class_300_mar2015,0.140410393476,0.0801219344139,0.16136687994
35,Aquatics,mar2015Ref25,Aquatics_Class_300_mar2015,0.10913323611,0.0578960776329,0.15845656395
36,Aquatics,mar2015Ref25,Aquatics_Class_300_mar2015,0.0472548119724,0.0326137728989,0.0502829216421
37,Aquatics,mar2015Ref25,Aquatics_Class_300_mar2015,0.0406238138676,0.0265634078532,0.0411599427462
38,Aquatics,mar2015Ref25,Aquatics_Class_300_mar2015,0.0618278868496,0.0407328382134,0.068515881896
39,Aquatics,mar2015Ref25,Aquatics_Class_300_mar2015,0.0661255046725,0.0421499982476,0.0723608583212
40,Aquatics,mar2015Ref25,Aquatics_Class_300_mar2015,0.0919687822461,0.0531771816313,0.1200562343
41,Aquatics,mar2015Ref25,Aquatics_Class_300_mar2015,0.125332415104,0.0656376630068,0.178945362568
42,Aquatics,mar2015Ref25,Aquatics_Class_300_mar2015,0.0993275642395,0.0545764937997,0.158623605967
43,Aquatics,mar2015Ref25,Aquatics_Class_300_mar2015,0.109861791134,0.0625773444772,0.220111474395
44,Aquatics,mar2015Ref25,Aquatics_Class_300_mar2015,0.161680653691,0.0866002961993,0.373132705688
45,Aquatics,mar2015Ref25,Aquatics_Class_300_mar2015,0.109861791134,0.0636566132307,0.228271141648
46,Aquatics,mar2015Ref25,Aquatics_Class_300_mar2015,0.0825680792332,0.0492546260357,0.102486811578
47,Aquatics,mar2015Ref25,Aquatics_Class_300_mar2015,0.0620551258326,0.0368296504021,0.0870022624731
48,Aquatics,mar2015Ref25,Aquatics_Class_300_mar2015,0.108031526208,0.0625773444772,0.204656749964
49,Aquatics,mar2015Ref25,Aquatics_Class_300_mar2015,0.0853894948959,0.0452183634043,0.137130647898
50,Aquatics,mar2015Ref25,Aquatics_Class_300_mar2015,0.0354929938912,0.0223609339446,0.0523340031505
51,Aquatics,mar2015Ref25,Aquatics_Class_300_mar2015,0.158306851983,0.0893369689584,0.245831489563
